Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.47µF,C_0603_1608Metric,252.0,-213.0,90.0,top
C2,0.1µ,C_0402_1005Metric,192.726652,-247.992338,90.0,top
C3,22µ,C_0402_1005Metric,236.36999,-255.776859,-90.0,top
C4,0.1µ,C_0402_1005Metric,237.561216,-255.768733,-90.0,top
C5,33µF,CP_EIA-3528-15_AVX-H,252.0,-208.0,90.0,top
C6,0.1µ,C_0402_1005Metric,216.512845,-236.473624,180.0,top
C7,1µ,C_0402_1005Metric,238.862364,-252.44578,90.0,top
C8,22pF,C_0402_1005Metric,254.541306,-261.190053,90.0,top
C9,0.1µ,C_0402_1005Metric,233.295246,-212.226954,180.0,top
C10,0.1µ,C_0402_1005Metric,43.5,-221.0,0.0,top
C11,0.1µ,C_0402_1005Metric,50.52,-221.0,0.0,top
C12,0.1µ,C_0402_1005Metric,57.5,-221.0,0.0,top
C13,0.1µ,C_0402_1005Metric,64.52,-221.0,0.0,top
C14,0.1µ,C_0402_1005Metric,71.5,-221.0,0.0,top
C15,0.1µ,C_0402_1005Metric,78.5,-221.0,0.0,top
C16,0.1µ,C_0402_1005Metric,85.5,-221.0,0.0,top
C17,0.1µ,C_0402_1005Metric,92.5,-221.0,0.0,top
C18,0.1µ,C_0402_1005Metric,99.5,-221.0,0.0,top
C19,0.1µ,C_0402_1005Metric,106.5,-221.0,0.0,top
C20,0.1µ,C_0402_1005Metric,113.5,-221.0,0.0,top
C21,0.1µ,C_0402_1005Metric,120.5,-221.0,0.0,top
C22,0.1µ,C_0402_1005Metric,127.48,-221.0,0.0,top
C23,0.1µ,C_0402_1005Metric,134.48,-221.0,0.0,top
C24,0.1µ,C_0402_1005Metric,141.5,-221.0,0.0,top
C25,0.1µ,C_0402_1005Metric,148.48,-221.0,0.0,top
C26,0.1µ,C_0402_1005Metric,155.5,-221.0,0.0,top
C27,0.1µ,C_0402_1005Metric,162.5,-221.0,0.0,top
C28,0.1µ,C_0402_1005Metric,169.5,-221.0,0.0,top
C29,0.1µ,C_0402_1005Metric,176.48,-221.0,0.0,top
C30,0.1µ,C_0402_1005Metric,183.5,-221.0,0.0,top
C31,0.1µ,C_0402_1005Metric,190.48,-221.0,0.0,top
C32,0.1µ,C_0402_1005Metric,197.48,-221.0,0.0,top
C33,0.1µ,C_0402_1005Metric,204.5,-221.0,0.0,top
C34,0.1µ,C_0402_1005Metric,211.5,-221.0,0.0,top
C35,0.1µ,C_0402_1005Metric,218.52,-221.0,0.0,top
C36,0.1µ,C_0402_1005Metric,232.52,-221.0,0.0,top
C37,0.1µ,C_0402_1005Metric,239.52,-221.0,0.0,top
C38,0.1µ,C_0402_1005Metric,246.52,-221.0,0.0,top
C39,0.1µ,C_0402_1005Metric,253.52,-221.0,0.0,top
C40,0.1µ,C_0402_1005Metric,260.5,-221.0,0.0,top
C41,0.1µ,C_0402_1005Metric,267.5,-221.0,0.0,top
C42,0.1µ,C_0402_1005Metric,274.52,-221.0,0.0,top
C43,0.1µ,C_0402_1005Metric,281.5,-221.0,0.0,top
C44,0.1µ,C_0402_1005Metric,288.5,-221.0,0.0,top
C45,0.1µ,C_0402_1005Metric,295.48,-221.0,0.0,top
C46,0.1µ,C_0402_1005Metric,302.48,-221.0,0.0,top
C47,0.1µ,C_0402_1005Metric,309.48,-221.0,0.0,top
C48,0.1µ,C_0402_1005Metric,316.5,-221.0,0.0,top
C49,0.1µ,C_0402_1005Metric,323.5,-221.0,0.0,top
C50,0.1µ,C_0402_1005Metric,330.52,-221.0,0.0,top
C51,0.1µ,C_0402_1005Metric,337.52,-221.0,0.0,top
C52,0.1µ,C_0402_1005Metric,344.5,-221.0,0.0,top
C53,0.1µ,C_0402_1005Metric,351.5,-221.0,0.0,top
C54,0.1µ,C_0402_1005Metric,358.52,-221.0,0.0,top
C55,0.1µ,C_0402_1005Metric,365.52,-221.0,0.0,top
C56,0.1µ,C_0402_1005Metric,372.52,-221.0,0.0,top
C57,0.1µ,C_0402_1005Metric,379.52,-221.0,0.0,top
C58,0.1µ,C_0402_1005Metric,386.52,-221.0,0.0,top
C59,0.1µ,C_0402_1005Metric,393.52,-221.0,0.0,top
C60,0.1µ,C_0402_1005Metric,400.52,-221.0,0.0,top
C61,0.1µ,C_0402_1005Metric,407.48,-221.0,0.0,top
C62,22pF,C_0402_1005Metric,254.541306,-265.176053,-90.0,top
C63,0.1µ,C_0402_1005Metric,233.265709,-217.51426,180.0,top
C64,0.1µ,C_0402_1005Metric,257.598757,-238.127203,-90.0,top
C65,0.1µ,C_0402_1005Metric,227.005,-230.5,180.0,top
C66,680µF,CP_EIA-7343-30_AVX-N,258.791306,-201.440053,180.0,top
D3,APA102-2020,LED-APA102-2020,225.0,-221.65,90.0,top
D4,APA102-2020,LED-APA102-2020,225.0,-218.15,90.0,top
D5,APA102-2020,LED-APA102-2020,225.0,-214.65,90.0,top
D6,APA102-2020,LED-APA102-2020,225.0,-211.15,90.0,top
D7,APA102-2020,LED-APA102-2020,225.0,-207.5,90.0,top
D8,APA102-2020,LED-APA102-2020,225.0,-204.15,90.0,top
D9,APA102-2020,LED-APA102-2020,225.0,-200.65,90.0,top
D10,APA102-2020,LED-APA102-2020,225.0,-197.15,90.0,top
D11,APA102-2020,LED-APA102-2020,225.0,-193.65,90.0,top
D12,APA102-2020,LED-APA102-2020,225.0,-190.15,90.0,top
D13,APA102-2020,LED-APA102-2020,225.0,-186.65,90.0,top
D14,APA102-2020,LED-APA102-2020,225.0,-183.15,90.0,top
D15,APA102-2020,LED-APA102-2020,225.0,-179.65,90.0,top
D16,APA102-2020,LED-APA102-2020,225.0,-176.15,90.0,top
D17,APA102-2020,LED-APA102-2020,225.0,-172.65,90.0,top
D18,APA102-2020,LED-APA102-2020,225.0,-169.15,90.0,top
D19,APA102-2020,LED-APA102-2020,225.0,-165.65,90.0,top
D20,APA102-2020,LED-APA102-2020,225.0,-162.15,90.0,top
D21,APA102-2020,LED-APA102-2020,225.0,-158.65,90.0,top
D22,APA102-2020,LED-APA102-2020,225.0,-155.15,90.0,top
D23,APA102-2020,LED-APA102-2020,225.0,-151.65,90.0,top
D24,APA102-2020,LED-APA102-2020,225.0,-148.15,90.0,top
D25,APA102-2020,LED-APA102-2020,225.0,-144.65,90.0,top
D26,APA102-2020,LED-APA102-2020,225.0,-141.15,90.0,top
D27,APA102-2020,LED-APA102-2020,225.0,-137.65,90.0,top
D28,APA102-2020,LED-APA102-2020,225.0,-134.15,90.0,top
D29,APA102-2020,LED-APA102-2020,225.0,-130.65,90.0,top
D30,APA102-2020,LED-APA102-2020,225.0,-127.15,90.0,top
D31,APA102-2020,LED-APA102-2020,225.0,-123.65,90.0,top
D32,APA102-2020,LED-APA102-2020,225.0,-120.15,90.0,top
D33,APA102-2020,LED-APA102-2020,225.0,-116.65,90.0,top
D34,APA102-2020,LED-APA102-2020,225.0,-113.15,90.0,top
D35,APA102-2020,LED-APA102-2020,225.0,-109.65,90.0,top
D36,APA102-2020,LED-APA102-2020,225.0,-106.15,90.0,top
D37,APA102-2020,LED-APA102-2020,225.0,-102.65,90.0,top
D38,APA102-2020,LED-APA102-2020,225.0,-99.15,90.0,top
D39,APA102-2020,LED-APA102-2020,225.0,-95.65,90.0,top
D40,APA102-2020,LED-APA102-2020,225.0,-92.15,90.0,top
D41,APA102-2020,LED-APA102-2020,225.0,-88.65,90.0,top
D42,APA102-2020,LED-APA102-2020,225.0,-85.15,90.0,top
D43,APA102-2020,LED-APA102-2020,225.0,-81.65,90.0,top
D44,APA102-2020,LED-APA102-2020,225.0,-78.15,90.0,top
D45,APA102-2020,LED-APA102-2020,225.0,-74.65,90.0,top
D46,APA102-2020,LED-APA102-2020,225.0,-71.15,90.0,top
D47,APA102-2020,LED-APA102-2020,225.0,-67.65,90.0,top
D48,APA102-2020,LED-APA102-2020,225.0,-64.15,90.0,top
D49,APA102-2020,LED-APA102-2020,225.0,-60.65,90.0,top
D50,APA102-2020,LED-APA102-2020,225.0,-57.15,90.0,top
D51,APA102-2020,LED-APA102-2020,225.0,-53.65,90.0,top
D52,APA102-2020,LED-APA102-2020,225.0,-50.15,90.0,top
D53,APA102-2020,LED-APA102-2020,225.0,-46.65,90.0,top
D54,APA102-2020,LED-APA102-2020,225.0,-43.15,90.0,top
IC1,ADG731BSUZ,TQFP-48_7x7mm_P0.5mm,196.661952,-243.098,0.0,top
IC2,TXU0304PWR,QFN_04RUTR_TEX,217.0,-234.0251,180.0,top
IC3,LM3940IMP-3.3_NOPB,SOT-223,244.118,-211.855,180.0,top
IC4,ADG731BSUZ,TQFP-48_7x7mm_P0.5mm,253.661952,-243.098,180.0,top
IC5,TXU0304PWR,QFN_04RUTR_TEX,229.5,-234.0501,90.0,top
R3,10k,R_0402_1005Metric,237.573,-253.64545,90.0,top
R4,10k,R_0402_1005Metric,46.49,-226.0251,0.0,top
R5,10k,R_0402_1005Metric,53.49,-226.0251,0.0,top
R6,10k,R_0402_1005Metric,60.51,-226.0251,0.0,top
R7,10k,R_0402_1005Metric,67.49,-226.0251,0.0,top
R8,10k,R_0402_1005Metric,74.51,-226.0251,0.0,top
R9,10k,R_0402_1005Metric,81.49,-226.0251,0.0,top
R10,10k,R_0402_1005Metric,88.49,-226.0251,0.0,top
R11,10k,R_0402_1005Metric,95.49,-226.0251,0.0,top
R12,10k,R_0402_1005Metric,102.51,-226.0251,0.0,top
R13,10k,R_0402_1005Metric,109.51,-226.0251,0.0,top
R14,10k,R_0402_1005Metric,116.49,-226.0251,0.0,top
R15,10k,R_0402_1005Metric,123.49,-226.0251,0.0,top
R16,10k,R_0402_1005Metric,130.49,-226.0251,0.0,top
R17,10k,R_0402_1005Metric,137.49,-226.0251,0.0,top
R18,10k,R_0402_1005Metric,144.49,-226.0251,0.0,top
R19,10k,R_0402_1005Metric,151.49,-226.0251,0.0,top
R20,10k,R_0402_1005Metric,158.49,-226.0251,0.0,top
R21,10k,R_0402_1005Metric,165.49,-226.0251,0.0,top
R22,10k,R_0402_1005Metric,172.49,-226.0251,0.0,top
R23,10k,R_0402_1005Metric,179.49,-226.0251,0.0,top
R24,10k,R_0402_1005Metric,186.49,-226.0251,0.0,top
R25,10k,R_0402_1005Metric,193.49,-226.0251,0.0,top
R26,10k,R_0402_1005Metric,200.49,-226.0251,0.0,top
R27,10k,R_0402_1005Metric,207.49,-226.0251,0.0,top
R28,10k,R_0402_1005Metric,214.49,-226.0251,0.0,top
R29,10k,R_0402_1005Metric,221.0,-228.5151,-90.0,top
R30,10k,R_0402_1005Metric,235.590416,-226.042324,0.0,top
R31,10k,R_0402_1005Metric,242.605416,-226.042324,0.0,top
R32,10k,R_0402_1005Metric,249.590416,-226.042324,0.0,top
R33,10k,R_0402_1005Metric,256.590416,-226.042324,0.0,top
R34,10k,R_0402_1005Metric,263.590416,-226.042324,0.0,top
R35,10k,R_0402_1005Metric,270.590416,-226.042324,0.0,top
R36,10k,R_0402_1005Metric,277.590416,-226.042324,0.0,top
R37,10k,R_0402_1005Metric,284.590416,-226.042324,0.0,top
R38,10k,R_0402_1005Metric,291.590416,-226.042324,0.0,top
R39,10k,R_0402_1005Metric,298.590416,-226.042324,0.0,top
R40,10k,R_0402_1005Metric,305.590416,-226.042324,0.0,top
R41,10k,R_0402_1005Metric,312.590416,-226.042324,0.0,top
R42,10k,R_0402_1005Metric,319.590416,-226.042324,0.0,top
R43,10k,R_0402_1005Metric,326.590416,-226.042324,0.0,top
R44,10k,R_0402_1005Metric,333.590416,-226.042324,0.0,top
R45,10k,R_0402_1005Metric,340.590416,-226.042324,0.0,top
R46,10k,R_0402_1005Metric,347.590416,-226.042324,0.0,top
R47,10k,R_0402_1005Metric,354.590416,-226.042324,0.0,top
R48,10k,R_0402_1005Metric,361.590416,-226.042324,0.0,top
R49,10k,R_0402_1005Metric,368.590416,-226.042324,0.0,top
R50,10k,R_0402_1005Metric,375.590416,-226.042324,0.0,top
R51,10k,R_0402_1005Metric,382.590416,-226.042324,0.0,top
R52,10k,R_0402_1005Metric,389.590416,-226.042324,0.0,top
R53,10k,R_0402_1005Metric,396.590416,-226.042324,0.0,top
R54,10k,R_0402_1005Metric,403.590416,-226.042324,0.0,top
R55,10k,R_0402_1005Metric,406.570416,-230.042324,180.0,top
R60,10K,R_0402_1005Metric,221.51812,-221.991826,90.0,top
R61,100,R_0402_1005Metric,220.385113,-221.993007,-90.0,top
SW1,SW_Boot,SW_SPST_B3U-1000P,205.95,-254.845,0.0,top
SW2,SW_Reset,SW_SPST_B3U-1000P,242.78,-254.845,180.0,top
U1,SN74LV1T34DBV,SOT-23-5,232.8625,-215.152556,180.0,top
U2,SN74LV1T34DBV,SOT-23-5,232.8625,-209.252,180.0,top
U4,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,43.0,-225.0,90.0,top
U5,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,50.0,-225.0,90.0,top
U6,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,57.0,-225.0,90.0,top
U7,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,64.0,-225.0,90.0,top
U8,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,71.0,-225.0,90.0,top
U9,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,78.0,-225.0,90.0,top
U10,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,85.0,-225.0,90.0,top
U11,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,92.0,-225.0,90.0,top
U12,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,99.0,-225.0,90.0,top
U13,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,106.0,-225.0,90.0,top
U14,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,113.0,-225.0,90.0,top
U15,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,120.0,-225.0,90.0,top
U16,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,127.0,-225.0,90.0,top
U17,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,134.0,-225.0,90.0,top
U18,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,141.0,-225.0,90.0,top
U19,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,148.0,-225.0,90.0,top
U20,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,155.0,-225.0,90.0,top
U21,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,162.0,-225.0,90.0,top
U22,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,168.975,-225.0,90.0,top
U23,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,176.0,-225.0,90.0,top
U24,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,183.0,-225.0,90.0,top
U25,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,190.0,-225.0,90.0,top
U26,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,197.0,-225.0,90.0,top
U27,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,204.0,-225.0,90.0,top
U28,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,211.0,-225.0,90.0,top
U29,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,218.0,-225.0,90.0,top
U30,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,232.0,-225.0251,90.0,top
U31,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,239.0,-225.0251,90.0,top
U32,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,246.0,-225.0251,90.0,top
U33,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,253.0,-225.0251,90.0,top
U34,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,260.0,-225.0,90.0,top
U35,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,267.0,-225.0,90.0,top
U36,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,274.0,-225.0251,90.0,top
U37,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,281.0,-225.0251,90.0,top
U38,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,288.0,-225.0251,90.0,top
U39,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,295.0,-225.0251,90.0,top
U40,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,302.0,-225.0251,90.0,top
U41,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,309.0,-225.0251,90.0,top
U42,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,316.0,-225.0251,90.0,top
U43,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,323.0,-225.0251,90.0,top
U44,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,330.0,-225.0251,90.0,top
U45,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,337.0,-225.0251,90.0,top
U46,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,344.0,-225.0251,90.0,top
U47,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,351.0,-225.0251,90.0,top
U48,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,358.0,-225.0251,90.0,top
U49,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,365.0,-225.0251,90.0,top
U50,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,372.0,-225.0251,90.0,top
U51,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,379.0,-225.0251,90.0,top
U52,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,386.0,-225.0251,90.0,top
U53,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,393.0,-225.0251,90.0,top
U54,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,400.0,-225.0251,90.0,top
U55,TMAG5170,VSSOP-8_3.0x3.0mm_P0.65mm,407.0,-225.0251,90.0,top
U60,ESP32-S3-WROOM-1-n16r8,ESP32-S3-WROOM-1-N16R2,224.99,-251.615,180.0,top
U61,QRE1113GR,OnSemi_CASE100CY,225.0,-225.0,90.0,top
